"HumanGene"	"MouseGene"	"HomologyID"	"transID"
"DRAM1"	"Dram1"	41255	"ENST00000258534_ENSG00000136048_DRAM1"
"DRAM2"	"Dram2"	23565	"ENST00000539140_ENSG00000156171_DRAM2"
"DRAP1"	"Drap1"	4703	"ENST00000312515_ENSG00000175550_DRAP1"
"DRAXIN"	"Draxin"	19233	"ENST00000294485_ENSG00000162490_DRAXIN"
"DRC1"	"Drc1"	35977	"ENST00000288710_ENSG00000157856_DRC1"
"DRC3"	"Drc3"	12581	"ENST00000399187_ENSG00000171962_DRC3"
"DRC7"	"Drc7"	12996	"ENST00000360716_ENSG00000159625_DRC7"
"DRD1"	"Drd1a"	30992	"ENST00000393752_ENSG00000184845_DRD1"
"DRD1"	"Drd1"	30992	"ENST00000393752_ENSG00000184845_DRD1"
"DRD2"	"Drd2"	22561	"ENST00000362072_ENSG00000149295_DRD2"
"DRD3"	"Drd3"	623	"ENST00000383673_ENSG00000151577_DRD3"
"DRD4"	"Drd4"	20215	"ENST00000176183_ENSG00000069696_DRD4"
"DRD5"	"Drd5"	20216	"ENST00000304374_ENSG00000169676_DRD5"
"DRG1"	"Drg1"	3060	"ENST00000331457_ENSG00000185721_DRG1"
"DRG2"	"Drg2"	1061	"ENST00000225729_ENSG00000108591_DRG2"
"DROSHA"	"Drosha"	8293	"ENST00000511367_ENSG00000113360_DROSHA"
"DRP2"	"Drp2"	55620	"ENST00000395209_ENSG00000102385_DRP2"
"DSC1"	"Dsc1"	22761	"ENST00000257198_ENSG00000134765_DSC1"
"DSC2"	"Dsc2"	8397	"ENST00000280904_ENSG00000134755_DSC2"
"DSC3"	"Dsc3"	1462	"ENST00000360428_ENSG00000134762_DSC3"
"DSCAM"	"Dscam"	74393	"ENST00000400454_ENSG00000171587_DSCAM"
"DSCAML1"	"Dscaml1"	79549	"ENST00000321322_ENSG00000177103_DSCAML1"
"DSCC1"	"Dscc1"	5464	"ENST00000313655_ENSG00000136982_DSCC1"
"DSCC1"	"2600005O03Rik"	5464	"ENST00000313655_ENSG00000136982_DSCC1"
"DSCR3"	"Dscr3"	4415	NA
"DSCR6"	"Dscr6"	10350	NA
"DSE"	"Dse"	8354	"ENST00000452085_ENSG00000111817_DSE"
"DSEL"	"Dsel"	12964	"ENST00000310045_ENSG00000171451_DSEL"
"DSG1"	"Dsg1b"	1463	"ENST00000257192_ENSG00000134760_DSG1"
"DSG1"	"Dsg1a"	1463	"ENST00000257192_ENSG00000134760_DSG1"
"DSG2"	"Dsg2"	1464	"ENST00000261590_ENSG00000046604_DSG2"
"DSG3"	"Dsg3"	55513	"ENST00000257189_ENSG00000134757_DSG3"
"DSG4"	"Dsg4"	65341	"ENST00000359747_ENSG00000175065_DSG4"
"DSN1"	"Dsn1"	49806	"ENST00000373750_ENSG00000149636_DSN1"
"DSP"	"Dsp"	37922	"ENST00000379802_ENSG00000096696_DSP"
"DSPP"	"Dspp"	56286	"ENST00000399271_ENSG00000152591_DSPP"
"DST"	"Dst"	136716	"ENST00000312431_ENSG00000151914_DST"
"DSTN"	"Dstn"	21362	"ENST00000246069_ENSG00000125868_DSTN"
"DSTYK"	"Ripk5"	19711	"ENST00000367161_ENSG00000133059_DSTYK"
"DSTYK"	"Dstyk"	19711	"ENST00000367161_ENSG00000133059_DSTYK"
"DTD1"	"Dtd1"	5518	"ENST00000494921_ENSG00000125821_DTD1"
"DTD2"	"Dtd2"	12634	"ENST00000310850_ENSG00000129480_DTD2"
"DTHD1"	"Dthd1"	123510	"ENST00000456874_ENSG00000197057_DTHD1"
"DTL"	"Dtl"	32313	"ENST00000366991_ENSG00000143476_DTL"
"DTNA"	"Dtna"	20362	"ENST00000444659_ENSG00000134769_DTNA"
"DTNB"	"Dtnb"	74875	"ENST00000406818_ENSG00000138101_DTNB"
"DTNBP1"	"Dtnbp1"	12037	"ENST00000344537_ENSG00000047579_DTNBP1"
"DTWD1"	"Dtwd1"	10633	"ENST00000403028_ENSG00000104047_DTWD1"
"DTWD2"	"Dtwd2"	79701	"ENST00000510708_ENSG00000169570_DTWD2"
"DTX1"	"Dtx1"	74522	"ENST00000257600_ENSG00000135144_DTX1"
"DTX2"	"Dtx2"	56904	"ENST00000324432_ENSG00000091073_DTX2"
"DTX3"	"Dtx3"	12754	"ENST00000551632_ENSG00000178498_DTX3"
"DTX3L"	"Dtx3l"	51375	"ENST00000296161_ENSG00000163840_DTX3L"
"DTX4"	"Dtx4"	27781	"ENST00000227451_ENSG00000110042_DTX4"
"DTYMK"	"Dtymk"	6285	"ENST00000305784_ENSG00000168393_DTYMK"
"DULLARD"	"Dullard"	9100	NA
"DUOX1"	"Duox1"	68136	"ENST00000321429_ENSG00000137857_DUOX1"
"DUOX2"	"Duox2"	9689	"ENST00000389039_ENSG00000140279_DUOX2"
"DUOXA1"	"Duoxa1"	16043	"ENST00000267803_ENSG00000140254_DUOXA1"
"DUOXA2"	"Duoxa2"	57037	"ENST00000323030_ENSG00000140274_DUOXA2"
"DUPD1"	"Dupd1"	51120	"ENST00000338487_ENSG00000188716_DUPD1"
"DUPD1"	"EG435391"	51120	"ENST00000338487_ENSG00000188716_DUPD1"
"DUS1L"	"Dus1l"	6569	"ENST00000306796_ENSG00000169718_DUS1L"
"DUS2"	"Dus2"	6838	"ENST00000358896_ENSG00000167264_DUS2"
"DUS2L"	"Dus2l"	6838	NA
"DUS3L"	"Dus3l"	6533	"ENST00000309061_ENSG00000141994_DUS3L"
"DUS4L"	"Dus4l"	6535	"ENST00000265720_ENSG00000105865_DUS4L"
"DUSP1"	"Dusp1"	3254	"ENST00000239223_ENSG00000120129_DUSP1"
"DUSP10"	"Dusp10"	5215	"ENST00000366899_ENSG00000143507_DUSP10"
"DUSP11"	"Dusp11"	31183	"ENST00000272444_ENSG00000144048_DUSP11"
"DUSP12"	"Dusp12"	5238	"ENST00000367943_ENSG00000081721_DUSP12"
"DUSP13"	"Dusp13"	121602	"ENST00000478873_ENSG00000079393_DUSP13"
"DUSP14"	"Dusp14"	5100	"ENST00000617516_ENSG00000276023_DUSP14"
"DUSP15"	"Dusp15"	33586	"ENST00000278979_ENSG00000149599_DUSP15"
"DUSP16"	"Dusp16"	15604	"ENST00000298573_ENSG00000111266_DUSP16"
"DUSP18"	"Dusp18"	34984	"ENST00000404885_ENSG00000167065_DUSP18"
"DUSP19"	"Dusp19"	41565	"ENST00000342619_ENSG00000162999_DUSP19"
"DUSP2"	"Dusp2"	3255	"ENST00000288943_ENSG00000158050_DUSP2"
"DUSP21"	"Dusp21"	66309	"ENST00000339042_ENSG00000189037_DUSP21"
"DUSP22"	"Dusp22"	86039	"ENST00000419235_ENSG00000112679_DUSP22"
"DUSP23"	"Dusp23"	32368	"ENST00000368109_ENSG00000158716_DUSP23"
"DUSP26"	"Dusp26"	11421	"ENST00000256261_ENSG00000133878_DUSP26"
"DUSP27"	"Dusp27"	18949	"ENST00000361200_ENSG00000198842_DUSP27"
"DUSP28"	"Dusp28"	45491	"ENST00000343217_ENSG00000188542_DUSP28"
"DUSP3"	"Dusp3"	20870	"ENST00000226004_ENSG00000108861_DUSP3"
"DUSP4"	"Dusp4"	1065	"ENST00000240100_ENSG00000120875_DUSP4"
"DUSP5"	"Dusp5"	3256	"ENST00000369583_ENSG00000138166_DUSP5"
"DUSP6"	"Dusp6"	55621	"ENST00000279488_ENSG00000139318_DUSP6"
"DUSP7"	"Dusp7"	1468	"ENST00000495880_ENSG00000164086_DUSP7"
"DUSP8"	"Dusp8"	31239	"ENST00000397374_ENSG00000184545_DUSP8"
"DUSP9"	"Dusp9"	1066	"ENST00000370167_ENSG00000130829_DUSP9"
"DUT"	"Dut"	31475	"ENST00000559416_ENSG00000128951_DUT"
"DVL1"	"Dvl1"	20926	"ENST00000378888_ENSG00000107404_DVL1"
"DVL2"	"Dvl2"	20927	"ENST00000005340_ENSG00000004975_DVL2"
"DVL3"	"Dvl3"	20928	"ENST00000313143_ENSG00000161202_DVL3"
"DXO"	"Dxo"	38061	"ENST00000337523_ENSG00000204348_DXO"
"DYDC1"	"Dydc1"	16355	"ENST00000372202_ENSG00000170788_DYDC1"
"DYDC2"	"Dydc2"	49996	"ENST00000372198_ENSG00000133665_DYDC2"
"DYM"	"Dym"	69237	"ENST00000269445_ENSG00000141627_DYM"
"DYNAP"	"Dynap"	82463	"ENST00000585973_ENSG00000178690_DYNAP"
"DYNC1H1"	"Dync1h1"	1053	"ENST00000360184_ENSG00000197102_DYNC1H1"
"DYNC1I1"	"Dync1i1"	68398	"ENST00000324972_ENSG00000158560_DYNC1I1"
"DYNC1I2"	"Dync1i2"	37921	"ENST00000397119_ENSG00000077380_DYNC1I2"
"DYNC1LI1"	"Dync1li1"	9403	"ENST00000273130_ENSG00000144635_DYNC1LI1"
"DYNC1LI2"	"Dync1li2"	4474	"ENST00000258198_ENSG00000135720_DYNC1LI2"
"DYNC2H1"	"Dync2h1"	14468	"ENST00000650373_ENSG00000187240_DYNC2H1"
"DYNC2LI1"	"Dync2li1"	9336	"ENST00000605786_ENSG00000138036_DYNC2LI1"
"DYNLL1"	"Dynll1"	108183	"ENST00000392509_ENSG00000088986_DYNLL1"
"DYNLL2"	"Dynll2"	115597	"ENST00000579991_ENSG00000264364_DYNLL2"
"DYNLRB1"	"Dynlrb1"	69161	"ENST00000357156_ENSG00000125971_DYNLRB1"
"DYNLRB2"	"Dynlrb2"	12601	"ENST00000562982_ENSG00000168589_DYNLRB2"
"DYNLT1"	"LOC100040603"	4754	"ENST00000367089_ENSG00000146425_DYNLT1"
"DYNLT1"	"Dynlt1f"	4754	"ENST00000367089_ENSG00000146425_DYNLT1"
"DYNLT3"	"Dynlt3"	21304	"ENST00000378578_ENSG00000165169_DYNLT3"
"DYRK1A"	"Dyrk1a"	55576	"ENST00000646548_ENSG00000157540_DYRK1A"
"DYRK1B"	"Dyrk1b"	31253	"ENST00000323039_ENSG00000105204_DYRK1B"
"DYRK2"	"Dyrk2"	48437	"ENST00000344096_ENSG00000127334_DYRK2"
"DYRK3"	"Dyrk3"	55762	"ENST00000367109_ENSG00000143479_DYRK3"
"DYRK4"	"Dyrk4"	37858	"ENST00000540757_ENSG00000010219_DYRK4"
"DYSF"	"Dysf"	20748	"ENST00000409582_ENSG00000135636_DYSF"
"DYSFIP1"	"Dysfip1"	45933	NA
"DYTN"	"Gm215"	104042	"ENST00000452335_ENSG00000232125_DYTN"
"DYTN"	"Dytn"	104042	"ENST00000452335_ENSG00000232125_DYTN"
"DYX1C1"	"Dyx1c1"	12173	NA
"DZANK1"	"Dzank1"	10037	"ENST00000262547_ENSG00000089091_DZANK1"
"DZIP1"	"Dzip1"	45708	"ENST00000376829_ENSG00000134874_DZIP1"
"DZIP1L"	"Dzip1l"	12466	"ENST00000327532_ENSG00000158163_DZIP1L"
"DZIP3"	"2310047C04Rik"	8771	"ENST00000361582_ENSG00000198919_DZIP3"
"DZIP3"	"Dzip3"	8771	"ENST00000361582_ENSG00000198919_DZIP3"
"E2F1"	"E2f1"	3828	"ENST00000343380_ENSG00000101412_E2F1"
"E2F2"	"E2f2"	48264	"ENST00000361729_ENSG00000007968_E2F2"
"E2F3"	"E2f3"	74413	"ENST00000346618_ENSG00000112242_E2F3"
"E2F4"	"E2f4"	1471	"ENST00000379378_ENSG00000205250_E2F4"
"E2F5"	"E2f5"	1472	"ENST00000418930_ENSG00000133740_E2F5"
"E2F6"	"E2f6"	1473	"ENST00000381525_ENSG00000169016_E2F6"
"E2F7"	"E2f7"	18685	"ENST00000322886_ENSG00000165891_E2F7"
"E2F8"	"E2f8"	11654	"ENST00000250024_ENSG00000129173_E2F8"
"E4F1"	"E4f1"	3259	"ENST00000301727_ENSG00000167967_E4F1"
"EAF1"	"Eaf1"	12561	"ENST00000396842_ENSG00000144597_EAF1"
"EAF2"	"Eaf2"	10208	"ENST00000273668_ENSG00000145088_EAF2"
"EAPP"	"Eapp"	10206	"ENST00000250454_ENSG00000129518_EAPP"
"EARS2"	"Ears2"	6907	"ENST00000563232_ENSG00000103356_EARS2"
"EBAG9"	"Ebag9"	3107	"ENST00000337573_ENSG00000147654_EBAG9"
"EBF1"	"Ebf1"	7297	"ENST00000313708_ENSG00000164330_EBF1"
"EBF2"	"Ebf2"	56471	"ENST00000520164_ENSG00000221818_EBF2"
"EBF3"	"Ebf3"	56472	"ENST00000368648_ENSG00000108001_EBF3"
"EBF4"	"Ebf4"	65064	"ENST00000380648_ENSG00000088881_EBF4"
"EBI3"	"Ebi3"	4207	"ENST00000221847_ENSG00000105246_EBI3"
"EBNA1BP2"	"Ebna1bp2"	4969	"ENST00000431635_ENSG00000117395_EBNA1BP2"
"EBP"	"Ebp"	4798	"ENST00000495186_ENSG00000147155_EBP"
"EBPL"	"Ebpl"	12243	"ENST00000242827_ENSG00000123179_EBPL"
"ECD"	"Ecd"	5256	"ENST00000372979_ENSG00000122882_ECD"
"ECE1"	"Ece1"	1068	"ENST00000374893_ENSG00000117298_ECE1"
"ECE2"	"Ece2"	56679	"ENST00000357474_ENSG00000145194_ECE2"
"ECEL1"	"Ecel1"	3549	"ENST00000304546_ENSG00000171551_ECEL1"
"ECH1"	"Ech1"	1069	"ENST00000221418_ENSG00000104823_ECH1"
"ECHDC1"	"Echdc1"	23106	"ENST00000454859_ENSG00000093144_ECHDC1"
"ECHDC2"	"Echdc2"	23088	"ENST00000371522_ENSG00000121310_ECHDC2"
"ECHDC3"	"Echdc3"	11484	"ENST00000379215_ENSG00000134463_ECHDC3"
"ECHS1"	"Echs1"	3018	"ENST00000368547_ENSG00000127884_ECHS1"
"ECI1"	"Eci1"	37554	"ENST00000301729_ENSG00000167969_ECI1"
"ECI2"	"Eci2"	38145	"ENST00000380118_ENSG00000198721_ECI2"
"ECM1"	"Ecm1"	3260	"ENST00000369049_ENSG00000143369_ECM1"
"ECM2"	"Ecm2"	1064	"ENST00000344604_ENSG00000106823_ECM2"
"ECOP"	"AW146242"	12772	NA
"ECPAS"	"Ecpas"	6056	"ENST00000259335_ENSG00000136813_ECPAS"
"ECRG4"	"Ecrg4"	11505	NA
"ECSCR"	"Ecscr"	86811	"ENST00000618155_ENSG00000249751_ECSCR"
"ECSCR"	"1110006O17Rik"	86811	"ENST00000618155_ENSG00000249751_ECSCR"
"ECSIT"	"Ecsit"	8080	"ENST00000270517_ENSG00000130159_ECSIT"
"ECT2"	"Ect2"	7298	"ENST00000392692_ENSG00000114346_ECT2"
"ECT2L"	"Ect2l"	46005	"ENST00000367682_ENSG00000203734_ECT2L"
"ECT2L"	"LOC100039660"	46005	"ENST00000367682_ENSG00000203734_ECT2L"
"EDA"	"Eda"	68180	"ENST00000374552_ENSG00000158813_EDA"
"EDA2R"	"Eda2r"	11033	"ENST00000396050_ENSG00000131080_EDA2R"
"EDAR"	"Edar"	7699	"ENST00000258443_ENSG00000135960_EDAR"
"EDARADD"	"Edaradd"	15430	"ENST00000334232_ENSG00000186197_EDARADD"
"EDC3"	"Edc3"	11827	"ENST00000315127_ENSG00000179151_EDC3"
"EDC4"	"Edc4"	40937	"ENST00000358933_ENSG00000038358_EDC4"
"EDDM3B"	"Eddm3b"	75184	"ENST00000326783_ENSG00000181552_EDDM3B"
"EDEM1"	"Edem1"	33836	"ENST00000256497_ENSG00000134109_EDEM1"
"EDEM2"	"Edem2"	10075	"ENST00000374492_ENSG00000088298_EDEM2"
"EDEM3"	"Edem3"	11866	"ENST00000318130_ENSG00000116406_EDEM3"
"EDF1"	"Edf1"	2809	"ENST00000224073_ENSG00000107223_EDF1"
"EDIL3"	"Edil3"	21166	"ENST00000296591_ENSG00000164176_EDIL3"
"EDN1"	"Edn1"	1476	"ENST00000379375_ENSG00000078401_EDN1"
"EDN2"	"Edn2"	1477	"ENST00000372587_ENSG00000127129_EDN2"
"EDN3"	"Edn3"	88	"ENST00000337938_ENSG00000124205_EDN3"
"EDNRA"	"Ednra"	1478	"ENST00000324300_ENSG00000151617_EDNRA"
"EDNRB"	"Ednrb"	89	"ENST00000377211_ENSG00000136160_EDNRB"
"EDRF1"	"Edrf1"	27985	"ENST00000356792_ENSG00000107938_EDRF1"
"EEA1"	"Eea1"	37822	"ENST00000322349_ENSG00000102189_EEA1"
"EED"	"Eed"	2814	"ENST00000351625_ENSG00000074266_EED"
"EEF1A1"	"Eef1a1"	100799	"ENST00000316292_ENSG00000156508_EEF1A1"
"EEF1A2"	"Eef1a2"	121568	"ENST00000217182_ENSG00000101210_EEF1A2"
"EEF1AKMT1"	"Eef1akmt1"	5952	"ENST00000382758_ENSG00000150456_EEF1AKMT1"
"EEF1AKMT2"	"Eef1akmt2"	6175	"ENST00000368836_ENSG00000203791_EEF1AKMT2"
"EEF1AKMT3"	"Eef1akmt3"	79538	"ENST00000300209_ENSG00000123427_EEF1AKMT3"
"EEF1AKNMT"	"Eef1aknmt"	32285	"ENST00000361735_ENSG00000010165_EEF1AKNMT"
"EEF1B2"	"Eef1b2"	1480	"ENST00000236957_ENSG00000114942_EEF1B2"
"EEF1D"	"Eef1d"	23404	"ENST00000442189_ENSG00000104529_EEF1D"
"EEF1E1"	"Eef1e1"	3161	"ENST00000379715_ENSG00000124802_EEF1E1"
"EEF1G"	"Eef1g"	20363	"ENST00000329251_ENSG00000254772_EEF1G"
"EEF2"	"Eef2"	100816	"ENST00000309311_ENSG00000167658_EEF2"
"EEF2K"	"Eef2k"	7299	"ENST00000263026_ENSG00000103319_EEF2K"
"EEF2KMT"	"Eef2kmt"	45719	"ENST00000427587_ENSG00000118894_EEF2KMT"
"EEFSEC"	"Eefsec"	11073	"ENST00000254730_ENSG00000132394_EEFSEC"
"EEPD1"	"2310005P05Rik"	12144	"ENST00000242108_ENSG00000122547_EEPD1"
"EEPD1"	"Eepd1"	12144	"ENST00000242108_ENSG00000122547_EEPD1"
"EFCAB1"	"Efcab1"	11608	"ENST00000262103_ENSG00000034239_EFCAB1"
"EFCAB11"	"Efcab11"	44924	"ENST00000316738_ENSG00000140025_EFCAB11"
"EFCAB12"	"Efcab12"	18905	"ENST00000505956_ENSG00000172771_EFCAB12"
"EFCAB14"	"Efcab14"	8858	"ENST00000371933_ENSG00000159658_EFCAB14"
"EFCAB2"	"Efcab2"	12248	"ENST00000366521_ENSG00000203666_EFCAB2"
"EFCAB3"	"4921510J17Rik"	18304	"ENST00000450662_ENSG00000172421_EFCAB3"
"EFCAB3"	"Efcab3"	18304	"ENST00000450662_ENSG00000172421_EFCAB3"
"EFCAB4B"	"Efcab4b"	41883	NA
"EFCAB5"	"Efcab5"	63366	"ENST00000394835_ENSG00000176927_EFCAB5"
"EFCAB6"	"4931407K02Rik"	11259	"ENST00000262726_ENSG00000186976_EFCAB6"
"EFCAB6"	"Efcab6"	11259	"ENST00000262726_ENSG00000186976_EFCAB6"
"EFCAB7"	"Efcab7"	19952	"ENST00000371088_ENSG00000203965_EFCAB7"
"EFCAB7"	"BC020077"	19952	"ENST00000371088_ENSG00000203965_EFCAB7"
"EFCAB9"	"Efcab9"	12309	"ENST00000398186_ENSG00000214360_EFCAB9"
"EFCC1"	"Efcc1"	130011	"ENST00000436022_ENSG00000114654_EFCC1"
"EFEMP1"	"Efemp1"	3028	"ENST00000394555_ENSG00000115380_EFEMP1"
"EFEMP2"	"Efemp2"	32339	"ENST00000307998_ENSG00000172638_EFEMP2"
"EFHA1"	"Efha1"	12516	NA
"EFHA2"	"2900075B16Rik"	15058	NA
"EFHB"	"Efhb"	16982	"ENST00000295824_ENSG00000163576_EFHB"
"EFHC1"	"Efhc1"	10003	"ENST00000371068_ENSG00000096093_EFHC1"
"EFHC2"	"Efhc2"	11863	"ENST00000420999_ENSG00000183690_EFHC2"
"EFHD1"	"Efhd1"	41618	"ENST00000409613_ENSG00000115468_EFHD1"
"EFHD2"	"Efhd2"	32580	"ENST00000375980_ENSG00000142634_EFHD2"
"EFL1"	"Efl1"	11599	"ENST00000268206_ENSG00000140598_EFL1"
"EFNA1"	"Efna1"	3262	"ENST00000368407_ENSG00000169242_EFNA1"
"EFNA2"	"Efna2"	1075	"ENST00000215368_ENSG00000099617_EFNA2"
"EFNA3"	"Efna3"	3635	"ENST00000368408_ENSG00000143590_EFNA3"
"EFNA4"	"Efna4"	3830	"ENST00000368409_ENSG00000243364_EFNA4"
"EFNA5"	"Efna5"	1482	"ENST00000333274_ENSG00000184349_EFNA5"
"EFNB1"	"Efnb1"	3263	"ENST00000204961_ENSG00000090776_EFNB1"
"EFNB2"	"Efnb2"	3019	"ENST00000245323_ENSG00000125266_EFNB2"
"EFNB3"	"Efnb3"	1076	"ENST00000226091_ENSG00000108947_EFNB3"
"EFR3A"	"C920006C10Rik"	44222	"ENST00000254624_ENSG00000132294_EFR3A"
"EFR3A"	"Efr3a"	44222	"ENST00000254624_ENSG00000132294_EFR3A"
"EFR3B"	"C030014M07Rik"	66195	"ENST00000403714_ENSG00000084710_EFR3B"
"EFR3B"	"Efr3b"	66195	"ENST00000403714_ENSG00000084710_EFR3B"
"EFS"	"Efs"	4284	"ENST00000216733_ENSG00000100842_EFS"
"EFTUD1"	"Eftud1"	11599	NA
"EFTUD2"	"Eftud2"	3133	"ENST00000426333_ENSG00000108883_EFTUD2"
"EGF"	"Egf"	1483	"ENST00000265171_ENSG00000138798_EGF"
"EGFL6"	"Egfl6"	9166	"ENST00000380602_ENSG00000198759_EGFL6"
"EGFL7"	"Egfl7"	9427	"ENST00000308874_ENSG00000172889_EGFL7"
"EGFL8"	"Egfl8"	36473	"ENST00000333845_ENSG00000241404_EGFL8"
"EGFLAM"	"Egflam"	65044	"ENST00000354891_ENSG00000164318_EGFLAM"
"EGFR"	"Egfr"	74545	"ENST00000275493_ENSG00000146648_EGFR"
"EGLN1"	"Egln1"	56936	"ENST00000366641_ENSG00000135766_EGLN1"
"EGLN2"	"Egln2"	14204	"ENST00000303961_ENSG00000269858_EGLN2"
"EGLN3"	"Egln3"	32531	"ENST00000250457_ENSG00000129521_EGLN3"
"EGR1"	"Egr1"	56394	"ENST00000239938_ENSG00000120738_EGR1"
"EGR2"	"Egr2"	20123	"ENST00000242480_ENSG00000122877_EGR2"
"EGR3"	"Egr3"	37923	"ENST00000317216_ENSG00000179388_EGR3"
"EGR4"	"Egr4"	1485	"ENST00000545030_ENSG00000135625_EGR4"
"EHBP1"	"Ehbp1"	22880	"ENST00000263991_ENSG00000115504_EHBP1"
"EHBP1L1"	"Ehbp1l1"	9072	"ENST00000309295_ENSG00000173442_EHBP1L1"
"EHD1"	"Ehd1"	81678	"ENST00000320631_ENSG00000110047_EHD1"
"EHD2"	"Ehd2"	22825	"ENST00000263277_ENSG00000024422_EHD2"
"EHD3"	"Ehd3"	81837	"ENST00000322054_ENSG00000013016_EHD3"
"EHD4"	"Ehd4"	26430	"ENST00000220325_ENSG00000103966_EHD4"
"EHF"	"Ehf"	7301	"ENST00000257831_ENSG00000135373_EHF"
"EHHADH"	"Ehhadh"	1486	"ENST00000231887_ENSG00000113790_EHHADH"
"EHMT1"	"Ehmt1"	11698	"ENST00000460843_ENSG00000181090_EHMT1"
"EHMT2"	"Ehmt2"	48460	"ENST00000395728_ENSG00000204371_EHMT2"
"EI24"	"Ei24"	3588	"ENST00000278903_ENSG00000149547_EI24"
"EID1"	"Eid1"	49376	"ENST00000530028_ENSG00000255302_EID1"
"EID2"	"Eid2"	45164	"ENST00000390658_ENSG00000176396_EID2"
"EID2B"	"LOC434156"	51846	"ENST00000326282_ENSG00000176401_EID2B"
"EID2B"	"Eid2b"	51846	"ENST00000326282_ENSG00000176401_EID2B"
"EID3"	"Eid3"	81651	"ENST00000527879_ENSG00000255150_EID3"
"EIF1"	"Eif1"	48375	"ENST00000469257_ENSG00000173812_EIF1"
"EIF1AD"	"2010003J03Rik"	41860	"ENST00000526451_ENSG00000175376_EIF1AD"
"EIF1AD"	"Eif1ad"	41860	"ENST00000526451_ENSG00000175376_EIF1AD"
"EIF1AX"	"Eif1a"	20364	"ENST00000379607_ENSG00000173674_EIF1AX"
"EIF1AX"	"Eif1ay"	20364	"ENST00000379607_ENSG00000173674_EIF1AX"
"EIF1AY"	"Eif1ax"	100715	"ENST00000361365_ENSG00000198692_EIF1AY"
"EIF1AY"	"Eif1a"	100715	"ENST00000361365_ENSG00000198692_EIF1AY"
"EIF1B"	"Eif1b"	22219	"ENST00000232905_ENSG00000114784_EIF1B"
"EIF2A"	"Eif2a"	5969	"ENST00000487799_ENSG00000144895_EIF2A"
"EIF2AK1"	"Eif2ak1"	8290	"ENST00000199389_ENSG00000086232_EIF2AK1"
"EIF2AK2"	"Eif2ak2"	48134	"ENST00000395127_ENSG00000055332_EIF2AK2"
"EIF2AK3"	"Eif2ak3"	3557	"ENST00000303236_ENSG00000172071_EIF2AK3"
"EIF2AK4"	"Eif2ak4"	40891	"ENST00000263791_ENSG00000128829_EIF2AK4"
"EIF2B1"	"Eif2b1"	1080	"ENST00000424014_ENSG00000111361_EIF2B1"
"EIF2B2"	"Eif2b2"	6507	"ENST00000266126_ENSG00000119718_EIF2B2"
"EIF2B3"	"Eif2b3"	7005	"ENST00000360403_ENSG00000070785_EIF2B3"
"EIF2B4"	"Eif2b4"	5976	"ENST00000493344_ENSG00000115211_EIF2B4"
"EIF2B5"	"Eif2b5"	2903	"ENST00000273783_ENSG00000145191_EIF2B5"
"EIF2C1"	"Eif2c1"	81826	NA
"EIF2C2"	"Eif2c2"	81825	NA
"EIF2C3"	"Eif2c3"	49799	NA
"EIF2C4"	"Eif2c4"	41184	NA
"EIF2D"	"Eif2d"	38244	"ENST00000271764_ENSG00000143486_EIF2D"
"EIF2S1"	"Eif2s1"	3020	"ENST00000256383_ENSG00000134001_EIF2S1"
"EIF2S2"	"Eif2s2"	2904	"ENST00000374980_ENSG00000125977_EIF2S2"
"EIF2S3"	"Eif2s3x"	90888	"ENST00000253039_ENSG00000130741_EIF2S3"
"EIF3A"	"Eif3s10"	2779	"ENST00000369144_ENSG00000107581_EIF3A"
"EIF3A"	"Eif3a"	2779	"ENST00000369144_ENSG00000107581_EIF3A"
"EIF3B"	"Eif3b"	2780	"ENST00000360876_ENSG00000106263_EIF3B"
"EIF3B"	"Eif3s9"	2780	"ENST00000360876_ENSG00000106263_EIF3B"
"EIF3C"	"Eif3c"	2781	"ENST00000566501_ENSG00000184110_EIF3C"
"EIF3CL"	"Eif3s8"	2781	"ENST00000380876_ENSG00000205609_EIF3CL"
"EIF3D"	"Eif3s7"	2782	"ENST00000216190_ENSG00000100353_EIF3D"
"EIF3D"	"Eif3d"	2782	"ENST00000216190_ENSG00000100353_EIF3D"
"EIF3E"	"Eif3s6"	1205	"ENST00000220849_ENSG00000104408_EIF3E"
"EIF3E"	"Eif3e"	1205	"ENST00000220849_ENSG00000104408_EIF3E"
"EIF3F"	"Eif3s5"	2783	"ENST00000309828_ENSG00000175390_EIF3F"
"EIF3F"	"Eif3f"	2783	"ENST00000309828_ENSG00000175390_EIF3F"
"EIF3G"	"Eif3s4"	2784	"ENST00000253108_ENSG00000130811_EIF3G"
"EIF3G"	"Eif3g"	2784	"ENST00000253108_ENSG00000130811_EIF3G"
"EIF3H"	"Eif3s3"	2785	"ENST00000521861_ENSG00000147677_EIF3H"
"EIF3H"	"Eif3h"	2785	"ENST00000521861_ENSG00000147677_EIF3H"
"EIF3I"	"Eif3s2"	2786	"ENST00000373586_ENSG00000084623_EIF3I"
"EIF3I"	"Eif3i"	2786	"ENST00000373586_ENSG00000084623_EIF3I"
"EIF3J"	"Eif3s1"	37845	"ENST00000261868_ENSG00000104131_EIF3J"
"EIF3J"	"Eif3j2"	37845	"ENST00000261868_ENSG00000104131_EIF3J"
"EIF3K"	"Eif3k"	8292	"ENST00000248342_ENSG00000178982_EIF3K"
